"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"connector"	""	"isGerealiseerdDoor"	"{A258ABB7-FC7C-44cd-9EB6-662C821BCED2}"	""	"Beslissing"	"{7E507387-B954-4522-A77C-61DB8BA1D9F2}"	"Publicatie"	"is gerealiseerd door"	"Duidt aan dat een beslissing gerealiseerd wordt via een publicatie."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isGerealiseerdDoor"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/besluit#Besluit"	"http://data.europa.eu/eli/ontology#LegalExpression"	""	"0"	"*"
"connector"	""	"isGerelateerdAan"	"{22789F60-ABE9-4549-84E6-7F26D272E642}"	""	"Dossier"	"{1D960FC8-C935-4413-B9A0-21EC5653D012}"	"Dossier"	"is gerelateerd aan"	"Duidt aan dat een dossier gerelateerd kan zijn aan een ander dossier."	""	""	"true"	"http://purl.org/dc/terms/"	"relation"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://dbpedia.org/ontology/Case"	""	"0"	"*"
"connector"	""	"isGerelateerdAan"	"{8F1D8C77-0CE5-4d37-9250-94F92D1CD417}"	""	"Procedurestap"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Procedurestap"	"is gerelateerd aan"	"Duidt aan dat een procedurestap gerelateerd kan zijn aan een andere procedurestap."	""	""	"true"	"http://purl.org/dc/terms/"	"relation"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://dbpedia.org/ontology/UnitOfWork"	""	"0"	"*"
"connector"	""	"heeftCreator"	"{8A3617F0-DAB7-43c2-B99A-9CD0E99F92DD}"	""	"Dossier"	"{1D960FC8-C935-4413-B9A0-21EC5653D012}"	"Agent"	"heeft creator"	"Duidt aan dat een dossier door een agent is aangemaakt."	""	""	"true"	"http://purl.org/dc/terms/"	"creator"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/Case"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"isAangevraagdVoor"	"{7D6AE2C5-5C23-4ada-BF07-04B796692DF5}"	""	"Procedurestap"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Zitting"	"is aangevraagd voor"	"Duidt aan dat iemand heeft aangevraagd om een procedurestap op de agenda te plaatsen van een welbepaalde zitting."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isAangevraagdVoor"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"http://data.vlaanderen.be/ns/besluit#Zitting"	""	"1"	"1"
"connector"	""	"isGeagendeerdVia"	"{0FCF4AD3-0903-4f20-9601-77B4A623988C}"	""	"Procedurestap"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Agendapunt"	"is geagendeerd via"	"Duidt aan dat een dossier in een welbepaalde procedurestap gebruikt wordt als informatiebron om een agendapunt te bespreken."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isGeagendeerdVia"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"http://data.vlaanderen.be/ns/besluit#Agendapunt"	""	"0"	"*"
"connector"	""	"heeftContactpersoon"	"{87E0E687-FB6E-45e1-B3CD-DEB84570E3A0}"	""	"Dossier"	"{1D960FC8-C935-4413-B9A0-21EC5653D012}"	"Agent"	"heeft contactpersoon"	"Duidt aan dat een dossier één of meerdere agenten als contactpersoon kan hebben."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftContactpersoon"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://purl.org/dc/terms/Agent"	""	"1"	"*"
"connector"	""	"heeftContactpersoon"	"{E355801F-0D0B-4f38-8D37-817804C599B2}"	""	"Consultatievraag"	"{102CF7FF-8C8F-4dac-ADF1-F54737AFB132}"	"Agent"	"heeft contactpersoon"	"Duidt aan dat een consultatievraag één of meerdere agenten als contactpersoon kan hebben."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftContactpersoon"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://purl.org/dc/terms/Agent"	""	"0"	"*"
"connector"	""	"bevat"	"{BDD24470-DDCA-40fc-956D-2BA7F164DB41}"	""	"Procedurestap"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Consultatievraag"	"bevat"	"Duidt aan dat een groter geheel uit meerdere onderdelen kan bestaan."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"https://data.vlaanderen.be/ns/besluitvorming#Consultatievraag"	""	"0"	"*"
"connector"	""	"leidtTot"	"{90A87DC5-3B73-4889-81FA-894D07EF477D}"	""	"Vertalingsaanvraag"	"{07D9A982-ED5E-476c-80A5-9E49ACCA15E4}"	"Documentversie"	"leidt tot"	"Duidt aan dat een documentversie als gevolg van een vertalingsaanvraag ontvangen kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Vertalingsaanvraag"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"1"	"1"
