"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"connector"	""	"leidtTot"	"{6CD807B4-E577-4c35-80D6-3B7EA73FE147}"	""	"Agendapunt"	"{86B10F48-936B-40f9-A8B8-52C9208C1C65}"	"KortBestek"	"leidt tot"	"Duidt aan dat een object als gevolg van een ander object aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#Agendapunt"	"https://data.vlaanderen.be/ns/besluitvorming#KortBestek"	""	"1"	"1"
"connector"	""	"leidtTot"	"{DBCEC3AC-2464-4051-9A5A-49B8ADC43923}"	""	"Agendapunt"	"{86B10F48-936B-40f9-A8B8-52C9208C1C65}"	"Beslissing"	"leidt tot"	"Duidt aan dat een object als gevolg van een ander object aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#Agendapunt"	"https://data.vlaanderen.be/ns/besluitvorming#Beslissing"	""	"0"	"1"
"connector"	""	"aangebrachtNa"	"{138C799E-0644-4257-8D3A-E352B8102DB1}"	""	"Agendapunt"	"{86B10F48-936B-40f9-A8B8-52C9208C1C65}"	"Agendapunt"	"aangebracht na"	"Duidt aan dat een agendapunt wordt besproken na een vorig agendapunt."	""	""	"true"	"https://data.vlaanderen.be/ns/besluit#"	"aangebrachtNa"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#Agendapunt"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#Agendapunt"	""	"0"	"1"
"connector"	""	"dientIn"	"{129DF796-0A80-47c5-A998-A035F7A6EC02}"	""	"Hoedanigheid"	"{74CEEB6F-979D-44c9-9E7D-7D6A7B6B1137}"	"Dossier"	"dient in"	"Duidt aan dat een hoedanigheid een dossier indient."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"dientIn"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/organisatie#Hoedanigheid"	"http://dbpedia.org/ontology/Case"	""	"0"	"*"
"connector"	""	"leidtTot"	"{90A87DC5-3B73-4889-81FA-894D07EF477D}"	""	"Vertalingsaanvraag"	"{07D9A982-ED5E-476c-80A5-9E49ACCA15E4}"	"Documentversie"	"leidt tot"	"Duidt aan dat een object als gevolg van een ander object aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Vertalingsaanvraag"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"1"	"*"
"connector"	""	"heeftStatus"	"{FF5A2E9B-CACD-488c-9D19-2EDA6F00E0E1}"	""	"Publicatie"	"{7C47DA43-0DE9-4fe3-ADCB-34FDDFD02B99}"	"Publicatiestatus"	"heeft status"	"Duidt aan dat een publicatie een status heeft, zoals ""drukproef aangevraagd""."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftStatus"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.europa.eu/eli/ontology#LegalExpression"	"https://data.vlaanderen.be/ns/besluitvorming#Publicatiestatus"	""	"0"	"*"
"connector"	""	"isBevoegdVoor"	"{5F447F30-6F6D-4793-84BA-9C4D7621A22F}"	""	"Hoedanigheid"	"{74CEEB6F-979D-44c9-9E7D-7D6A7B6B1137}"	"Dossier"	"is bevoegd voor"	"Duidt aan dat één of meer hoedanigheden bevoegd zijn voor een dossier. "	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isBevoegdVoor"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/organisatie#Hoedanigheid"	"http://dbpedia.org/ontology/Case"	""	"0"	"*"
"connector"	""	"bevat"	"{BDD24470-DDCA-40fc-956D-2BA7F164DB41}"	""	"Deeldossier"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Advies"	"bevat"	"Duidt aan dat bepaalde objecten onderdeel kunnen uitmaken van een groter geheel."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"https://data.vlaanderen.be/ns/besluitvorming#Advies"	""	"0"	"*"
"connector"	""	"isContactpersoonVoor"	"{87E0E687-FB6E-45e1-B3CD-DEB84570E3A0}"	""	"Hoedanigheid"	"{74CEEB6F-979D-44c9-9E7D-7D6A7B6B1137}"	"Dossier"	"is contactpersoon voor"	"Duidt aan dat een hoedanigheid een contacpersoon is voor een dossier."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isContactpersoonVoor"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://dbpedia.org/ontology/Case"	""	"0"	"*"
"attribute"	"Informatiemodel-Besluitvorming"	"eind"	"{589D27DE-B6A5-4ef3-9730-45D19F0C7184}"	""	"Zitting"	"{ADCF03E4-BF46-41af-AABC-65F7DE2A9178}"	"DateTime"	"eind"	"Het tijdstip waarop een zitting eindigt."	""	""	"true"	"http://www.w3.org/ns/prov#"	"endedAtTime"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://data.vlaanderen.be/ns/besluit#Zitting"	"http://www.w3.org/2001/XMLSchema#dateTime"	""	"1"	"1"
